"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WESD","WESF","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-10-22",,,"0.00",,,,"55","23",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-10-23",,,"0.29",,,,"57","30",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-10-24",,,"0.04",,,,"50","35",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-10-25",,,"0.00",,,,"53","28",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-10-26",,,"0.00",,,,"50","25",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-10-27",,,"1.52",,,,"53","39",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-10-28",,,"0.03",,,,"57","44",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-10-29",,,"0.14",,,,"61","40",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-10-30",,,"0.00",,,,"51","30",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-10-31",,,"0.00",,,,"60","27",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-11-01",,,"0.00",,,,"69","53",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-11-02",,,"0.13",,,,"71","54",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-11-03",,,"0.29",,,,"69","47",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-11-04",,,"0.00",,,,"57","37",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-11-05",,,"0.01",,,,"54","36",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-11-06",,,"0.02",,,,"62","50",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-11-07",,,"0.02",,,,"65","46",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-11-08",,,"0.00",,,,"57","35",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-11-09",,,"0.00",,,,"53","30",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-11-10",,,"0.01",,,,"51","36",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-11-11",,,"0.00",,,,"47","33",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-11-12",,,"0.00",,,,"51","28",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-11-13",,,"0.00",,,,"56","43",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-11-14",,,"0.00",,,,"43","26",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-11-15",,,"0.52",,,,"35","24",,,,"    1",,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-11-16",,,"0.46",,,,"45","35",,,,"    1",,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-11-17",,,"0.00",,,,"48","36",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-11-18",,,"0.00",,,,"43","32",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-11-19",,,"0.02",,,,"41","38",,,,"    1",,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-11-20",,,"0.37",,,,"43","33",,,,"    1",,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-11-21",,,"0.00",,,,"44","25",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-11-22",,,"0.00",,,,"25","15",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-11-23",,,"0.00",,,,"34","15",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-11-24",,,"0.00",,,,"48","28",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-11-25",,,"0.83",,,,"49","38",,,,"    1",,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-11-26",,,"0.93",,,,"49","41",,,,,"    1",,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-11-27",,,"0.32",,,,"48","38",,,,"    1",,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-11-28",,,"0.00",,,,"44","36",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-11-29",,,"0.00",,,,"47","36",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-11-30",,,"0.00",,,,"43","28",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-12-01",,,"0.00",,,,"46","30",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-12-02",,,"0.75",,,,"53","37",,,,"    1",,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-12-03",,,"0.00",,,,"59","44",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-12-04",,,"0.00",,,,"45","26",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-12-05",,,"0.00",,,,"38","20",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-12-06",,,"0.00",,,,"41","26",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-12-07",,,"0.00",,,,"40","25",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-12-08",,,"0.00",,,,"32","17",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-12-09",,,"0.00",,,,"37","16",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-12-10",,,"0.00",,,,"41","18",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-12-11",,,"0.00",,,,"39","14",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-12-12",,,"0.00",,,,"39","20",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-12-13",,,"0.00",,,,"35","20",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-12-14",,,"0.00",,,,"49","20",,,,"    1",,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-12-15",,,"0.05",,,,"55","43",,,,"    1",,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-12-16",,,"0.54",,,,"46","42",,,,"    1",,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-12-17",,,"0.06",,,,"43","37",,,,"    1",,,,,,"    1",,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-12-18",,,"0.00",,,,"40","25",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-12-19",,,"0.00",,,,"43","20",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-12-20",,,"0.00",,,,"51","22",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-12-21",,,"1.08",,,,"67","44",,,,"    1",,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-12-22",,,"0.03",,,,"59","37",,,,,,,,,,"    1",,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-12-23",,,"0.00",,,,"43","28",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-12-24",,,"0.00",,,,"39","31",,,,"    1",,,,,,"    1",,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-12-25",,,"0.00",,,,"41","22",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-12-26",,,"0.00",,,,"42","19",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-12-27",,,"0.00",,,,"40","28",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-12-28",,,"0.36",,,,"59","33",,,,"    1",,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-12-29",,,"0.00",,,,"57","35",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-12-30",,,"0.00",,,,"39","24",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2018-12-31",,,"0.42",,,,"46","23",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-01-01",,,"0.32",,,,"60","35",,,,"    1",,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-01-02",,,"0.00",,,,"39","27",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-01-03",,,"0.00",,,,"48","30",,,,"    1",,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-01-04",,,"0.00",,,,"48","31",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-01-05",,,"1.15",,,,"45","36",,,,"    1",,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-01-06",,,"0.00",,,,"47","27",,,,"    1",,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-01-07",,,"0.00",,,,"32","20",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-01-08",,,"0.00",,,,"44","29",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-01-09",,,"0.09",,,,"49","34",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-01-10",,,"0.00",,,,"37","26",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-01-11",,,"0.00",,,,"31","17",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-01-12",,,"0.00",,,,"31","14",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-01-13",,,"0.00",,,,"30","16",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-01-14",,,"0.00",,,,"33","16",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-01-15",,,"0.00",,,,"40","11",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-01-16",,,"0.00",,,,"39","15",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-01-17",,,"0.00",,,,"32","18",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-01-18",,,"0.00",,,,"44","20",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-01-19",,,"0.12",,,,"36","18",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-01-20",,,"1.32",,,,"38","9",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-01-21",,,"0.00",,,,"9","3",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-01-22",,,"0.00",,,,"29","6",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-01-23",,,"0.00",,,,"52","11",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-01-24",,,"1.49",,,,"62","37",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-01-25",,,"0.00",,,,"42","29",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-01-26",,,"0.00",,,,"37","21",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-01-27",,,"0.00",,,,"47","20",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-01-28",,,"0.00",,,,"42","24",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-01-29",,,"0.05",,,,"37","24",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-01-30",,,"0.16",,,,"40","8",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-01-31",,,"0.00",,,,"18","3",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-02-01",,,"0.00",,,,"23","9",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-02-02",,,"0.00",,,,"35","7",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-02-03",,,"0.00",,,,"43","26",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-02-04",,,"0.00",,,,"63","29",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-02-05",,,"0.00",,,,"66","31",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-02-06",,,"0.37",,,,"44","33",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-02-07",,,"0.26",,,,"42","35",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-02-08",,,"0.07",,,,"57","31",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-02-09",,,"0.00",,,,"37","24",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-02-10",,,"0.00",,,,"37","22",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-02-11",,,"0.00",,,,"39","26",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-02-12",,,"0.28",,,,"38","18",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-02-13",,,"0.78",,,,"45","33",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-02-14",,,"0.00",,,,"41","26",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-02-15",,,"0.11",,,,"54","27",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-02-16",,,"0.00",,,,"49","26",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-02-17",,,"0.00",,,,"41","19",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-02-18",,,"0.12",,,,"34","22",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-02-19",,,"0.00",,,,"34","13",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-02-20",,,"0.00",,,,"31","11",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-02-21",,,"0.01",,,,"48","27",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-02-22",,,"0.00",,,,"47","28",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-02-23",,,"0.00",,,,"42","21",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-02-24",,,"0.40",,,,"49","34",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-02-25",,,"0.08",,,,"42","29",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-02-26",,,"0.00",,,,"33","19",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-02-27",,,"0.00",,,,"27","13",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-02-28",,,"0.02",,,,"33","11",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-03-01",,,"0.00",,,,"40","10",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-03-02",,,"0.20",,,,"35","28",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-03-03",,,"0.01",,,,"44","20",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-03-04",,,"0.17",,,,"40","24",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-03-05",,,"0.00",,,,"31","13",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-03-06",,,"0.00",,,,"27","15",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-03-07",,,"0.00",,,,"29","11",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-03-08",,,"0.00",,,,"38","4",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-03-09",,,"0.00",,,,"47","9",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-03-10",,,"0.52",,,,"39","20",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-03-11",,,"0.00",,,,"50","32",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-03-12",,,"0.00",,,,"44","24",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-03-13",,,"0.00",,,,"46","19",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-03-14",,,"0.00",,,,"51","33",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-03-15",,,"0.09",,,,"63","42",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-03-16",,,"0.00",,,,"56","34",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-03-17",,,"0.00",,,,"44","30",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-03-18",,,"0.00",,,,"45","25",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-03-19",,,"0.00",,,,"49","22",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-03-20",,,"0.00",,,,"53","22",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-03-21",,,"0.03",,,,"54","27",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-03-22",,,"0.80",,,,"45","40",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-03-23",,,"0.06",,,,"51","34",,,,"    1",,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-03-24",,,"0.00",,,,"60","25",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-03-25",,,"0.00",,,,"53","29",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-03-26",,,"0.00",,,,"47","25",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-03-27",,,"0.00",,,,"47","22",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-03-28",,,"0.00",,,,"54","25",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-03-29",,,"0.02",,,,"57","44",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-03-30",,,"0.00",,,,"71","42",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-03-31",,,"0.12",,,,"70","39",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-04-01",,,"0.00",,,,"48","26",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-04-02",,,"0.07",,,,"53","20",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-04-03",,,"0.38",,,,"66","41",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-04-04",,,"0.00",,,,"54","37",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-04-05",,,"0.10",,,,"50","28",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-04-06",,,"0.10",,,,"68","37",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-04-07",,,"0.00",,,,"69","31",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-04-08",,,"0.53",,,,"52","39",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-04-09",,,"0.10",,,,"46","37",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-04-10",,,"0.01",,,,"49","35",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-04-11",,,"0.00",,,,"56","32",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-04-12",,,"0.14",,,,"59","35",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-04-13",,,"0.32",,,,"76","52",,,,"    1",,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-04-14",,,"0.09",,,,"75","49",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-04-15",,,"0.73",,,,"72","45",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-04-16",,,"0.00",,,,"61","43",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-04-17",,,"0.00",,,,"65","33",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-04-18",,,"0.00",,,,"64","34",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-04-19",,,"0.03",,,,"77","64",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-04-20",,,"0.30",,,,"73","63",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-04-21",,,"0.05",,,,"72","52",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-04-22",,,"2.13",,,,"60","49",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-04-23",,,"0.22",,,,"58","49",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-04-24",,,"0.03",,,,"67","50",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-04-25",,,"0.00",,,,"65","44",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-04-26",,,"0.88",,,,"52","47",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-04-27",,,"0.52",,,,"55","45",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-04-28",,,"0.06",,,,"54","45",,,,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","2019-04-29",,,"0.00",,,,"62","38",,,,"    1",,,,,,,,
